	2
34.87.186.57	26
34.92.131.68	57
34.92.185.134	14
34.94.27.191	2
35.0.183.137	2
35.0.97.87	4
35.14.121.110	305
35.14.183.72	2
35.16.26.251	2
35.20.128.79	2
35.20.151.72	10
35.20.218.103	2
35.20.230.118	30
35.20.236.180	8
35.20.253.96	6
35.3.88.127	6
35.34.81.37	10
35.4.174.81	61
35.55.111.201	4
35.55.121.58	4
35.55.94.175	4
35.55.95.27	6
35.59.245.105	8
35.61.4.40	4
35.7.207.238	2
35.90.128.53	129
35.90.158.150	6
35.90.159.38	2
35.90.169.60	8
35.93.51.66	4
35.94.37.175	14
35.94.72.41	8
35.94.90.143	12
36.244.96.235	742
42.4.130.201	2
49.105.187.224	4
49.216.197.135	16
49.216.211.111	2
49.216.63.75	22
49.96.56.118	26
59.245.3.13	14
59.73.98.148	2
60.229.135.104	2
60.238.133.41	10
60.70.98.204	2
61.194.18.123	706
61.2.253.58	8
61.207.90.56	36
61.4.5.93	2
64.9.32.111	91
64.9.32.128	6
64.9.33.117	16
64.9.33.146	40
64.9.33.147	16
64.9.33.64	8
64.9.33.65	28
64.9.37.78	2
64.9.37.79	4
66.248.73.201	2
72.68.248.32	4
74.141.131.199	291
74.141.138.226	1194
74.141.138.23	5094
74.141.230.179	2
74.141.51.113	4
74.141.51.236	74
74.141.51.237	8
74.141.53.110	48
74.141.53.111	28
74.141.53.140	18
74.141.53.141	26
74.141.74.250	132
77.74.132.193	2
8.246.55.151	16
8.246.56.123	10
83.225.215.241	2
93.232.179.19	2
99.44.31.190	10
