	2
131.31.24.138	22
131.31.24.139	41
131.31.240.138	4
131.31.240.144	4
131.31.240.188	38
131.31.240.64	6
131.31.240.72	10
131.31.240.73	1271
131.31.241.23	12
131.31.241.25	12
131.31.241.26	438
131.31.243.211	4
131.31.245.175	298
131.31.245.80	2
131.31.250.157	8
131.31.253.32	8
131.31.253.88	36
131.31.35.14	2
131.31.68.77	6
131.31.69.88	4
131.31.73.122	6
131.31.73.221	32
131.31.73.240	8
131.31.73.77	4
131.31.73.8	2
131.31.75.186	6
131.31.76.164	2
131.31.76.65	8
131.31.81.59	566
131.31.81.85	4
131.31.81.93	22
131.31.82.104	4
131.31.82.119	2
131.31.85.128	12
131.31.90.207	4
131.31.90.213	10
131.31.90.222	44
131.31.92.19	12
131.31.92.92	133
131.31.94.183	2
131.31.94.248	12
131.31.96.0	31
131.31.96.107	30
131.31.96.108	2
131.31.96.110	2
131.31.96.117	20
131.31.96.118	11
131.31.96.131	12
131.31.96.137	4
131.31.96.138	252
131.31.96.14	14
131.31.96.15	4
131.31.96.158	18
131.31.96.17	6
131.31.96.45	6
131.31.96.47	2
131.31.96.5	2
131.31.96.52	39
131.31.96.7	116
131.31.96.8	2
131.31.98.203	356
131.31.98.205	731
131.31.99.133	2
131.31.99.142	4
131.31.99.153	76
131.31.99.166	2
131.31.99.190	77
133.104.1.245	16
133.104.29.188	465
133.104.30.139	116
133.104.9.112	1309
133.117.192.129	28
133.117.193.0	82
133.117.193.6	8
133.117.202.239	16
133.122.38.234	14
133.136.203.160	2
133.136.203.161	2
133.136.230.26	2
133.136.33.51	9419
133.136.56.119	4
133.164.0.70	498
133.164.10.16	28
133.164.126.74	4
133.164.148.52	10
133.164.148.53	12
133.164.159.140	3082
133.164.159.57	20
133.164.161.130	14052
133.164.162.0	8
133.164.163.104	8
133.164.163.227	2
133.164.168.122	16
133.164.168.64	4
133.164.171.20	150
133.164.177.32	18
133.164.180.188	2
133.164.193.27	88
133.164.200.106	10
133.164.200.3	4
133.164.200.83	391
133.164.208.79	2
133.164.211.100	6
133.164.211.105	10
133.164.211.227	2
133.164.212.23	2
133.164.213.209	44
133.164.213.247	2
133.164.214.29	32
133.164.214.97	34
133.164.225.183	221
133.164.233.176	2
133.164.234.139	4
133.164.238.24	6
133.164.253.172	2
133.164.38.98	100
133.164.43.168	2
133.164.49.46	15
133.164.52.106	4
133.164.53.170	49
133.164.71.205	2
133.180.112.236	82
133.180.113.181	14
133.180.127.197	36
133.180.158.93	50
133.180.217.124	64
133.180.47.163	2
133.180.47.187	30
133.180.50.252	85
133.180.55.170	20
133.189.251.193	6
133.189.94.1	4
133.189.94.13	2
133.189.94.16	4
133.189.94.24	2
133.189.94.32	2
133.189.94.33	6
133.189.94.37	2
133.189.94.43	4
133.189.94.6	2
133.189.94.69	2
133.189.94.7	4
133.189.94.79	2
133.189.94.89	2
133.19.40.195	14
133.208.11.194	36
133.95.7.60	29
137.29.150.213	4
139.229.95.113	2
14.0.12.192	43
147.93.3.220	8
147.93.38.149	7
150.147.211.174	746
150.192.0.27	28
150.192.10.135	8
150.192.103.213	30
150.192.104.127	2
150.192.105.143	31
150.192.105.159	2
150.192.108.0	1790
150.192.108.1	22
150.192.108.110	1498
150.192.108.111	38
150.192.108.12	12
150.192.108.128	2
150.192.108.132	2
150.192.108.139	86
150.192.108.154	42
150.192.108.165	4
150.192.108.168	10
150.192.108.169	2
150.192.108.181	2
150.192.108.188	694
150.192.108.207	16
150.192.108.212	2
150.192.108.221	10
150.192.108.224	6
150.192.108.235	6
150.192.108.253	2
150.192.108.29	130
150.192.108.30	20
150.192.108.32	1226
150.192.108.42	22
150.192.108.46	76
150.192.108.53	2
150.192.108.70	4
150.192.108.76	2
150.192.108.79	323
150.192.108.91	16
150.192.108.94	2
150.192.109.139	10
150.192.109.151	736
150.192.109.158	20
150.192.109.163	30
150.192.109.181	2
150.192.109.186	2
150.192.109.193	682
150.192.109.199	200
150.192.109.229	2
150.192.109.240	24
150.192.109.68	100
150.192.109.77	16
150.192.11.118	20
150.192.110.100	4
150.192.110.107	16
150.192.110.151	30
150.192.110.16	4
150.192.110.179	40
150.192.110.182	6
150.192.110.190	96
150.192.110.199	8
150.192.110.200	2
150.192.110.207	18
150.192.110.23	12
150.192.110.244	6
150.192.110.251	7
150.192.110.254	11
150.192.110.41	236
150.192.110.6	160
150.192.110.61	4
150.192.110.74	20
150.192.117.204	2
150.192.117.207	13065
150.192.127.136	24
150.192.127.171	20
150.192.128.30	8
150.192.129.121	4
150.192.133.170	4
150.192.134.158	4
150.192.136.49	2
150.192.144.103	2
